Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"47u","C_SMD:C_0603",""
C2 ,1,"100n","C_SMD:C_0603",""
C3 ,1,"4.7u","C_SMD:C_0603",""
J1 ,1,"Conn_01x07_Female","","~"
J2 ,1,"Conn_01x02_Female","","~"
J3 ,1,"CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
JP1 JP2 JP3 JP4 ,4,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
N1 ,1,"IN-14","russian-nixies:russian-nixies-IN-14",""
Q1 Q3 Q5 Q7 Q9 Q2 Q4 Q6 Q8 Q10 ,10,"Q_NPN_BEC","TO_SOT:SOT-23",""
R1 ,1,"47k","R_SMD:R_0603",""
R3 R5 R7 R9 R11 R4 R6 R8 R10 R12 R14 R15 R16 R17 R2 R18 R19 ,17,"10k","R_SMD:R_0603",""
U1 ,1,"SK6812mini","",""
U3 ,1,"PCA9685PW","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm","http://www.nxp.com/documents/data_sheet/PCA9685.pdf"